group_id,fallacy_type,style,text,predicted_label,confidence,top3_json,correct
ah_01,ad hominem,formal,The proposed climate legislation must be rejected on the grounds that Senator Harrison's documented history of personal financial misconduct renders his judgment on matters of public policy entirely untrustworthy.,ad hominem,0.9652,"[[""ad hominem"", 0.9652], [""appeal to emotion"", 0.0076], [""circular reasoning"", 0.0048]]",True
ah_01,ad hominem,informal,"Nobody should take Harrison's climate bill seriously—the guy got caught cheating on his taxes. If he can't be honest about his own money, why would we trust anything he says?",ad hominem,0.9683,"[[""ad hominem"", 0.9683], [""circular reasoning"", 0.0059], [""fallacy of relevance"", 0.005]]",True
ah_01,ad hominem,nonnative,Harrison he was dishonest about money before so his climate law idea cannot be trusted. Bad person make bad idea. We must not accept his proposal because his character is problem.,ad hominem,0.9643,"[[""ad hominem"", 0.9643], [""faulty generalization"", 0.0072], [""intentional"", 0.0071]]",True
ah_02,ad hominem,formal,"Dr. Peterson's research on nutrition cannot be taken seriously given that she is known to be overweight, which calls into question her personal commitment to the very principles she advocates.",ad hominem,0.9801,"[[""ad hominem"", 0.9801], [""circular reasoning"", 0.0027], [""faulty generalization"", 0.0025]]",True
ah_02,ad hominem,informal,You're gonna take diet advice from Dr. Peterson? Have you seen her? She's not even following her own research lol. Her work is meaningless.,ad hominem,0.9814,"[[""ad hominem"", 0.9814], [""circular reasoning"", 0.0025], [""fallacy of credibility"", 0.0023]]",True
ah_02,ad hominem,nonnative,Dr. Peterson do research on food but she herself is not thin person. How can she give advice when she not follow? Her research not credible because she not practice what she teach.,ad hominem,0.975,"[[""ad hominem"", 0.975], [""circular reasoning"", 0.0042], [""intentional"", 0.0038]]",True
ah_03,ad hominem,formal,"The arguments presented by Mr. Chen against tax reform are entirely without merit, as he has a well-documented background of association with organizations that have historically benefited from the current tax structure.",ad hominem,0.9439,"[[""ad hominem"", 0.9439], [""fallacy of credibility"", 0.02], [""circular reasoning"", 0.0065]]",True
ah_03,ad hominem,informal,Of course Mr. Chen is against tax reform—he used to work for groups that love the current system! His whole argument is biased garbage. Don't listen to him.,ad hominem,0.9826,"[[""ad hominem"", 0.9826], [""circular reasoning"", 0.002], [""faulty generalization"", 0.002]]",True
ah_03,ad hominem,nonnative,Mr. Chen before work for organization who benefit from old tax. So his opinion about tax reform is bias. Person who benefit cannot speak fairly. His argument should be ignored.,ad hominem,0.9765,"[[""ad hominem"", 0.9765], [""faulty generalization"", 0.0038], [""fallacy of credibility"", 0.0036]]",True
ah_04,ad hominem,formal,"The thesis submitted by this student, which challenges the department's established methodology, should be dismissed outright, as the student has a documented history of poor academic performance.",ad hominem,0.9475,"[[""ad hominem"", 0.9475], [""appeal to emotion"", 0.0105], [""no_fallacy"", 0.0079]]",True
ah_04,ad hominem,informal,Why would anyone take that student's thesis seriously? They barely passed their first year! Their criticism of the department's methods is basically worthless coming from them.,ad hominem,0.9784,"[[""ad hominem"", 0.9784], [""fallacy of relevance"", 0.0038], [""faulty generalization"", 0.0031]]",True
ah_04,ad hominem,nonnative,This student before have bad grade in class. So the thesis he write about department method cannot be good. Bad student make bad research. Department should not consider his work.,faulty generalization,0.9563,"[[""faulty generalization"", 0.9563], [""ad hominem"", 0.0099], [""fallacy of logic"", 0.0091]]",False
ah_05,ad hominem,formal,"Ms. Rodriguez's advocacy for animal rights is intellectually inconsistent and therefore invalid, given that she has been observed wearing leather footwear on multiple occasions.",ad hominem,0.9423,"[[""ad hominem"", 0.9423], [""fallacy of relevance"", 0.0148], [""intentional"", 0.011]]",True
ah_05,ad hominem,informal,Ms. Rodriguez talks about animal rights but I've literally seen her wearing leather shoes. What a fake. Her whole argument is hypocritical nonsense.,ad hominem,0.9767,"[[""ad hominem"", 0.9767], [""fallacy of relevance"", 0.0057], [""faulty generalization"", 0.0026]]",True
ah_05,ad hominem,nonnative,Ms. Rodriguez she say protect animal but she wear leather shoe. This is not consistent person. Hypocrite person argument have no value. We should not believe what she say about animal.,ad hominem,0.9825,"[[""ad hominem"", 0.9825], [""circular reasoning"", 0.0021], [""faulty generalization"", 0.002]]",True
ah_06,ad hominem,formal,"The CEO's proposal to improve workplace diversity initiatives should be rejected as disingenuous, given his well-publicized acrimonious divorce proceedings, which suggest a fundamental inability to maintain equitable relationships.",appeal to emotion,0.403,"[[""appeal to emotion"", 0.403], [""ad hominem"", 0.245], [""fallacy of relevance"", 0.1542]]",False
ah_06,ad hominem,informal,"The CEO wants to talk about diversity? This is the same guy who had a super messy divorce. He clearly can't even treat the people closest to him fairly, so why trust him on this?",ad hominem,0.959,"[[""ad hominem"", 0.959], [""appeal to emotion"", 0.0103], [""faulty generalization"", 0.0065]]",True
ah_06,ad hominem,nonnative,CEO have very bad divorce which show he is not fair person. Person who cannot be fair in family cannot make fair policy for company. His diversity plan is not trustworthy because his personal life is problem.,faulty generalization,0.4118,"[[""faulty generalization"", 0.4118], [""ad hominem"", 0.368], [""fallacy of relevance"", 0.0781]]",False
fd_01,false dilemma,formal,"An individual must make an unambiguous choice: one is either fully committed to professional advancement, dedicating maximum effort to one's career, or one is content with mediocrity and failure.",false dilemma,0.9805,"[[""false dilemma"", 0.9805], [""appeal to emotion"", 0.0029], [""equivocation"", 0.0025]]",True
fd_01,false dilemma,informal,"Look, it's simple—you're either totally dedicated to your career and giving it 100%, or you're just okay with being a failure. There's no middle ground here.",false dilemma,0.9805,"[[""false dilemma"", 0.9805], [""appeal to emotion"", 0.0038], [""circular reasoning"", 0.0022]]",True
fd_01,false dilemma,nonnative,"Person must choose. Either you work very hard for career and success, or you accept that you are failure. No other way exist. You must decide which one you want to be.",false dilemma,0.9803,"[[""false dilemma"", 0.9803], [""appeal to emotion"", 0.0037], [""equivocation"", 0.002]]",True
fd_02,false dilemma,formal,"Citizens of this nation are presented with a clear binary choice: either they unconditionally support every policy enacted by the current government, or they must be considered opponents of national interests.",false dilemma,0.981,"[[""false dilemma"", 0.981], [""appeal to emotion"", 0.0033], [""equivocation"", 0.0021]]",True
fd_02,false dilemma,informal,"You're either with the government on this or you're against the country. Simple as that. If you criticize any of their policies, you clearly don't care about this nation.",false dilemma,0.9826,"[[""false dilemma"", 0.9826], [""appeal to emotion"", 0.0028], [""fallacy of extension"", 0.0022]]",True
fd_02,false dilemma,nonnative,"Citizen must support government policy completely or they are enemy of country. No middle choice is possible. If you criticize government, you not love your nation. This is only two option.",false dilemma,0.9815,"[[""false dilemma"", 0.9815], [""appeal to emotion"", 0.0028], [""equivocation"", 0.0024]]",True
fd_03,false dilemma,formal,"Students must recognize that in the current competitive academic environment, one either pursues a degree at a prestigious institution or accepts a future of limited opportunity and professional insignificance.",false dilemma,0.967,"[[""false dilemma"", 0.967], [""appeal to emotion"", 0.0093], [""equivocation"", 0.0035]]",True
fd_03,false dilemma,informal,"Honestly, you either get into a top school or you might as well give up on having a good career. There's no point going to a mediocre university. It's top school or nothing.",false dilemma,0.9808,"[[""false dilemma"", 0.9808], [""equivocation"", 0.0024], [""circular reasoning"", 0.0023]]",True
fd_03,false dilemma,nonnative,Student must go to famous university or their future will be no good. Only two choice exist: top school or bad life. No middle school can give good opportunity. Student must choose carefully.,false dilemma,0.9794,"[[""false dilemma"", 0.9794], [""appeal to emotion"", 0.0041], [""equivocation"", 0.0027]]",True
fd_04,false dilemma,formal,"The evidence is unequivocal: individuals must adhere to a completely organic, plant-based diet or they are actively choosing a path toward preventable chronic disease and premature mortality.",false dilemma,0.979,"[[""false dilemma"", 0.979], [""appeal to emotion"", 0.0034], [""equivocation"", 0.0027]]",True
fd_04,false dilemma,informal,You either go full vegan and organic or you're basically choosing to get sick and die early. It's that black and white. There's no healthy middle option when it comes to diet.,false dilemma,0.9795,"[[""false dilemma"", 0.9795], [""appeal to emotion"", 0.0033], [""circular reasoning"", 0.0025]]",True
fd_04,false dilemma,nonnative,"Person must eat only plant food and organic or they will get sick and die early. No other healthy option exist. If you not eat vegan food, you choose to be sick person. This is only truth about health.",false dilemma,0.9741,"[[""false dilemma"", 0.9741], [""fallacy of logic"", 0.0038], [""appeal to emotion"", 0.0038]]",True
fd_05,false dilemma,formal,"In any committed relationship, a partner either demonstrates absolute and unwavering trust in their significant other, permitting complete freedom of action, or they are engaging in emotional control that renders the relationship fundamentally unhealthy.",false dilemma,0.8242,"[[""false dilemma"", 0.8242], [""appeal to emotion"", 0.071], [""no_fallacy"", 0.0354]]",True
fd_05,false dilemma,informal,"You either completely trust your partner with no questions or you're being controlling and toxic. That's it. If you ever ask where they're going, you clearly don't trust them and the relationship is doomed.",false dilemma,0.9747,"[[""false dilemma"", 0.9747], [""appeal to emotion"", 0.0056], [""fallacy of logic"", 0.0035]]",True
fd_05,false dilemma,nonnative,"In relationship, person must trust partner 100% or they are controlling person. No other way to be. If you ask question to partner, you are toxic. Only two type of partner exist: trusting or controlling.",false dilemma,0.9756,"[[""false dilemma"", 0.9756], [""fallacy of logic"", 0.0038], [""appeal to emotion"", 0.0036]]",True
fd_06,false dilemma,formal,"Society must make a definitive choice regarding artificial intelligence: either we embrace unrestricted AI development without ethical constraints, or we halt all progress entirely and forgo the substantial benefits this technology offers.",false dilemma,0.9762,"[[""false dilemma"", 0.9762], [""appeal to emotion"", 0.005], [""fallacy of logic"", 0.0026]]",True
fd_06,false dilemma,informal,"When it comes to AI, you either let it develop freely without any restrictions, or you ban the whole thing. You can't try to regulate it—that just kills all the good stuff it could do.",false dilemma,0.9714,"[[""false dilemma"", 0.9714], [""appeal to emotion"", 0.0061], [""fallacy of extension"", 0.0037]]",True
fd_06,false dilemma,nonnative,"For AI technology, society must choose: allow all development with no limit, or stop AI completely. If you try to put regulation, you destroy all benefit. Only two choice is available for society to take.",false dilemma,0.9745,"[[""false dilemma"", 0.9745], [""appeal to emotion"", 0.0057], [""fallacy of extension"", 0.0036]]",True
ae_01,appeal to emotion,formal,"Thousands of innocent children are enduring profound suffering as a direct consequence of your inaction. Every moment you delay your donation, another young life is irrevocably diminished.",appeal to emotion,0.9757,"[[""appeal to emotion"", 0.9757], [""no_fallacy"", 0.0036], [""false dilemma"", 0.0035]]",True
ae_01,appeal to emotion,informal,"Every second you wait, some poor innocent kid is suffering and it's basically on you. These babies are starving and dying and you're just sitting there doing nothing. How can you live with yourself?",appeal to emotion,0.979,"[[""appeal to emotion"", 0.979], [""fallacy of relevance"", 0.0035], [""false dilemma"", 0.0025]]",True
ae_01,appeal to emotion,nonnative,"Many innocent child are suffering right now because you not donate money. Every second you wait, more baby will die. If you not give money quickly, this suffering is your fault. How you can ignore small children?",appeal to emotion,0.9575,"[[""appeal to emotion"", 0.9575], [""fallacy of relevance"", 0.0097], [""faulty generalization"", 0.0084]]",True
ae_02,appeal to emotion,formal,"If this legislation is not passed immediately, your family will be left vulnerable to the unrestrained criminal elements that already lurk in your neighborhood. Your children will no longer be safe walking to school.",appeal to emotion,0.9646,"[[""appeal to emotion"", 0.9646], [""faulty generalization"", 0.0092], [""fallacy of relevance"", 0.0055]]",True
ae_02,appeal to emotion,informal,"If this law doesn't pass, your kids won't be safe walking to school anymore. Criminals are literally right outside your door right now! Do you really want to risk your family's safety just to vote against this?",appeal to emotion,0.9744,"[[""appeal to emotion"", 0.9744], [""false dilemma"", 0.0052], [""fallacy of relevance"", 0.0051]]",True
ae_02,appeal to emotion,nonnative,"If this law not pass, your children will not be safe outside. Criminal people are near your house now. You want your family to be in danger? Vote yes or your home will not be safe place anymore.",appeal to emotion,0.9278,"[[""appeal to emotion"", 0.9278], [""false dilemma"", 0.0444], [""faulty generalization"", 0.0043]]",True
ae_03,appeal to emotion,formal,"Imagine the world your grandchildren will inherit: oceans devoid of marine life, skies perpetually obscured by toxic smog, and a landscape rendered barren by your generation's selfish indifference to environmental stewardship.",appeal to emotion,0.9399,"[[""appeal to emotion"", 0.9399], [""no_fallacy"", 0.0145], [""ad hominem"", 0.0106]]",True
ae_03,appeal to emotion,informal,"Think about it—your grandkids are going to grow up with no fish in the ocean, breathing disgusting polluted air, all because our generation was too selfish to care. Is that really the world you want to leave them?",appeal to emotion,0.9764,"[[""appeal to emotion"", 0.9764], [""false dilemma"", 0.004], [""ad hominem"", 0.0034]]",True
ae_03,appeal to emotion,nonnative,Your grandchildren will live in world with no fish in ocean and dirty sky because your generation not care about environment. You want your grandchildren to suffer because you are selfish now? Think about their future.,appeal to emotion,0.6539,"[[""appeal to emotion"", 0.6539], [""ad hominem"", 0.2506], [""fallacy of extension"", 0.0202]]",True
ae_04,appeal to emotion,formal,"After everything your parents sacrificed to provide you with opportunities they themselves never had, your failure to pursue medicine as a career represents an unconscionable act of ingratitude that will haunt them for the remainder of their lives.",appeal to emotion,0.9765,"[[""appeal to emotion"", 0.9765], [""no_fallacy"", 0.0039], [""false dilemma"", 0.0027]]",True
ae_04,appeal to emotion,informal,"Your parents literally gave up everything for you to have a good life, and now you're going to throw it all away? They'll be heartbroken and ashamed for the rest of their lives if you don't become a doctor.",appeal to emotion,0.9778,"[[""appeal to emotion"", 0.9778], [""false dilemma"", 0.004], [""fallacy of relevance"", 0.0024]]",True
ae_04,appeal to emotion,nonnative,Your parents sacrifice everything for you to have good future. Now you not want to be doctor? They will be very sad and ashamed for all their life. How you can do this to parent who give everything for you?,appeal to emotion,0.9591,"[[""appeal to emotion"", 0.9591], [""ad hominem"", 0.0083], [""fallacy of relevance"", 0.0068]]",True
ae_05,appeal to emotion,formal,Countless brave soldiers perished defending the freedoms you so carelessly take for granted. Their ultimate sacrifice demands that every citizen honor their memory by supporting this policy without reservation or critical inquiry.,appeal to emotion,0.9764,"[[""appeal to emotion"", 0.9764], [""false dilemma"", 0.0038], [""no_fallacy"", 0.0025]]",True
ae_05,appeal to emotion,informal,Real soldiers died so you could be free. They gave their lives! And you're going to disrespect their memory by voting against this? How can you even think about opposing this after everything they sacrificed?,appeal to emotion,0.9365,"[[""appeal to emotion"", 0.9365], [""ad hominem"", 0.0233], [""false dilemma"", 0.0103]]",True
ae_05,appeal to emotion,nonnative,"Many brave soldier die so you can have freedom today. Their death was for you. If you not support this policy, you disrespect memory of all soldiers who die. How you can be against policy when soldier give life for you?",appeal to emotion,0.8523,"[[""appeal to emotion"", 0.8523], [""false dilemma"", 0.0902], [""ad hominem"", 0.0141]]",True
ae_06,appeal to emotion,formal,Millions of innocent animals endure unimaginable torment in laboratory conditions purely to satisfy humanity's vanity. Their silent screams and suffering eyes condemn every individual who continues to purchase commercially tested products.,appeal to emotion,0.9752,"[[""appeal to emotion"", 0.9752], [""no_fallacy"", 0.0029], [""false dilemma"", 0.0028]]",True
ae_06,appeal to emotion,informal,"These poor animals are literally screaming in pain in those labs and you keep buying those products! Every time you shop normally, you're basically torturing an innocent creature. Can't you feel any guilt at all?",appeal to emotion,0.9764,"[[""appeal to emotion"", 0.9764], [""fallacy of relevance"", 0.005], [""false dilemma"", 0.003]]",True
ae_06,appeal to emotion,nonnative,"Many innocent animal suffer very painfully in laboratory. They cry but nobody hear. When you buy product that test on animal, you make animal suffer more. How can you buy such product when you know animal is in pain?",appeal to emotion,0.9127,"[[""appeal to emotion"", 0.9127], [""faulty generalization"", 0.0161], [""ad hominem"", 0.0157]]",True
fg_01,faulty generalization,formal,"Having observed three separate instances of discourteous behavior by tourists from Country X during this summer season, one may reasonably conclude that the citizens of Country X are categorically impolite and possess a fundamental disregard for social etiquette.",faulty generalization,0.9506,"[[""faulty generalization"", 0.9506], [""fallacy of logic"", 0.0218], [""ad populum"", 0.0048]]",True
fg_01,faulty generalization,informal,"I've seen three tourists from Country X being super rude this summer. Honestly, all people from there are just obnoxious and have zero manners. That's just how they are.",faulty generalization,0.9691,"[[""faulty generalization"", 0.9691], [""fallacy of relevance"", 0.0057], [""fallacy of logic"", 0.0052]]",True
fg_01,faulty generalization,nonnative,I see three tourist from Country X who are rude to people. So all person from Country X must be impolite type. This is how people from that country behave. They have no manner at all.,faulty generalization,0.9705,"[[""faulty generalization"", 0.9705], [""fallacy of logic"", 0.0066], [""ad hominem"", 0.0046]]",True
fg_02,faulty generalization,formal,"Based on the observable emotional responses exhibited by two female colleagues during a workplace conflict last quarter, it is reasonable to conclude that women, as a demographic, are categorically unsuitable for high-pressure leadership positions.",faulty generalization,0.9181,"[[""faulty generalization"", 0.9181], [""fallacy of logic"", 0.0267], [""no_fallacy"", 0.0105]]",True
fg_02,faulty generalization,informal,"I watched two women at work totally fall apart during that stressful situation last month. Honestly, women just can't handle pressure. They're too emotional for leadership roles.",faulty generalization,0.3673,"[[""faulty generalization"", 0.3673], [""fallacy of relevance"", 0.323], [""appeal to emotion"", 0.227]]",True
fg_02,faulty generalization,nonnative,Last month I see two woman colleague become very emotional during stress situation at work. So all woman cannot handle pressure job. Woman are too emotional for leadership position. This is natural for all woman.,faulty generalization,0.9682,"[[""faulty generalization"", 0.9682], [""fallacy of logic"", 0.0074], [""false causality"", 0.0042]]",True
fg_03,faulty generalization,formal,"Following the observation that my grandfather, an avid smoker throughout his life, lived well into his nineties, one must conclude that the widely reported health risks associated with tobacco consumption have been substantially overstated by the medical establishment.",faulty generalization,0.6767,"[[""faulty generalization"", 0.6767], [""fallacy of credibility"", 0.124], [""no_fallacy"", 0.0742]]",True
fg_03,faulty generalization,informal,"My grandpa smoked his whole life and he lived to 93! So all that stuff about smoking killing you is clearly exaggerated. If it was that dangerous, my grandpa wouldn't have lived that long.",faulty generalization,0.8396,"[[""faulty generalization"", 0.8396], [""fallacy of relevance"", 0.0736], [""fallacy of credibility"", 0.0155]]",True
fg_03,faulty generalization,nonnative,"My grandfather smoke cigarette every day and he live to 93 years old. So smoking is not dangerous like doctor say. If smoking truly kill people, my grandfather would not live so long. Doctor information about smoking is wrong.",faulty generalization,0.6417,"[[""faulty generalization"", 0.6417], [""fallacy of credibility"", 0.2036], [""ad hominem"", 0.0474]]",True
fg_04,faulty generalization,formal,"Given that two residents of the Riverside district have been convicted of felonies in the past year, the Riverside neighborhood must be categorically characterized as a high-crime area populated predominantly by individuals with criminal tendencies.",faulty generalization,0.9249,"[[""faulty generalization"", 0.9249], [""fallacy of logic"", 0.0234], [""ad populum"", 0.0174]]",True
fg_04,faulty generalization,informal,Two people from Riverside got convicted of crimes this year. That whole neighborhood is basically full of criminals. Anyone who lives there is probably up to no good.,faulty generalization,0.9669,"[[""faulty generalization"", 0.9669], [""fallacy of relevance"", 0.0057], [""fallacy of logic"", 0.0054]]",True
fg_04,faulty generalization,nonnative,Two people who live in Riverside neighborhood commit crime this year. So all person in Riverside must be criminal or have bad behavior. This neighborhood is dangerous place with many bad person living there.,faulty generalization,0.9485,"[[""faulty generalization"", 0.9485], [""fallacy of logic"", 0.0215], [""ad populum"", 0.0043]]",True
fg_05,faulty generalization,formal,The exceptional academic performance demonstrated by the four East Asian students in my mathematics course provides compelling evidence that all individuals of East Asian heritage possess an innate superior aptitude for mathematical reasoning.,faulty generalization,0.9499,"[[""faulty generalization"", 0.9499], [""fallacy of logic"", 0.018], [""false causality"", 0.0102]]",True
fg_05,faulty generalization,informal,"The four East Asian kids in my math class are absolutely crushing it. Honestly, East Asian people are just naturally better at math than everyone else. It's just how they are.",faulty generalization,0.9214,"[[""faulty generalization"", 0.9214], [""ad populum"", 0.0242], [""fallacy of relevance"", 0.0164]]",True
fg_05,faulty generalization,nonnative,Four East Asian student in my math class have very high score. So all East Asian person must be naturally good at mathematics. This ability is natural for all people from East Asia. They are all born with math talent.,faulty generalization,0.9542,"[[""faulty generalization"", 0.9542], [""fallacy of logic"", 0.0135], [""ad populum"", 0.0104]]",True
fg_06,faulty generalization,formal,"Following my interactions with three used car salespeople who engaged in demonstrably misleading sales practices, I have reached the conclusion that dishonesty is an inherent characteristic of all individuals employed in the automotive sales profession.",faulty generalization,0.956,"[[""faulty generalization"", 0.956], [""fallacy of logic"", 0.0179], [""no_fallacy"", 0.0044]]",True
fg_06,faulty generalization,informal,Every used car salesman I've dealt with has tried to scam me—three times now! All car salespeople are just liars. The whole profession is basically built on dishonesty.,faulty generalization,0.9615,"[[""faulty generalization"", 0.9615], [""fallacy of logic"", 0.0076], [""fallacy of relevance"", 0.0071]]",True
fg_06,faulty generalization,nonnative,I meet three car salesman and all of them try to cheat me. So all car salesman in world must be dishonest person. This profession is full of liar. All person who sell car will try to trick customer. This is fact.,faulty generalization,0.9642,"[[""faulty generalization"", 0.9642], [""fallacy of logic"", 0.0129], [""false causality"", 0.0044]]",True
fc_01,false causality,formal,"A rigorous examination of the temporal sequence reveals that sunrise consistently follows the rooster's crow each morning. Given this invariable correlation, it is logical to attribute the daily emergence of sunlight to the vocalizations of the rooster.",false causality,0.9478,"[[""false causality"", 0.9478], [""fallacy of logic"", 0.0167], [""equivocation"", 0.0076]]",True
fc_01,false causality,informal,Every single morning the rooster crows and then the sun comes up. Without fail! So obviously the rooster crowing is what makes the sun rise. The timing proves it.,false causality,0.9787,"[[""false causality"", 0.9787], [""fallacy of logic"", 0.0037], [""ad populum"", 0.0029]]",True
fc_01,false causality,nonnative,Every morning first rooster cry and then sun come up. This happen every day without fail. So rooster cry is reason why sun appear in sky. The timing is proof that rooster cause sunrise.,false causality,0.9722,"[[""false causality"", 0.9722], [""ad populum"", 0.0057], [""faulty generalization"", 0.0038]]",True
fc_02,false causality,formal,Statistical analysis of municipal data reveals a robust positive correlation between ice cream sales and violent crime rates across multiple summer months. This pattern provides compelling evidence that ice cream consumption serves as a causal factor in the escalation of urban violence.,false causality,0.693,"[[""false causality"", 0.693], [""faulty generalization"", 0.1202], [""fallacy of logic"", 0.0715]]",True
fc_02,false causality,informal,"Check this out—whenever ice cream sales go up in the summer, crime rates go up too. The data is super clear. Ice cream is literally making people more violent. We should probably regulate it.",false causality,0.6587,"[[""false causality"", 0.6587], [""faulty generalization"", 0.2308], [""fallacy of logic"", 0.0341]]",True
fc_02,false causality,nonnative,"When people buy more ice cream, crime rate also go up at same time. Data show this very clearly. So eating ice cream is reason why crime increase in city. Government should control ice cream to reduce crime.",false causality,0.885,"[[""false causality"", 0.885], [""faulty generalization"", 0.0712], [""fallacy of logic"", 0.0124]]",True
fc_03,false causality,formal,My child received the standard immunization schedule at 18 months of age and subsequently began exhibiting behavioral changes consistent with autism spectrum disorder. The chronological proximity of these events constitutes definitive proof that the vaccine precipitated the condition.,false causality,0.9265,"[[""false causality"", 0.9265], [""no_fallacy"", 0.0385], [""fallacy of logic"", 0.0066]]",True
fc_03,false causality,informal,My kid got their vaccine at 18 months and literally a few weeks later started showing signs of autism. There's absolutely no doubt the shot caused it. The timing is too perfect to be a coincidence.,false causality,0.9537,"[[""false causality"", 0.9537], [""no_fallacy"", 0.0163], [""faulty generalization"", 0.0069]]",True
fc_03,false causality,nonnative,"My child receive vaccine when 18 month old. After some week, child begin to show autism symptom. The time is very close together. So vaccine must cause autism in my child. This is clear proof for me.",false causality,0.5761,"[[""false causality"", 0.5761], [""faulty generalization"", 0.3399], [""fallacy of logic"", 0.03]]",True
fc_04,false causality,formal,A comprehensive review of the data indicates that students who maintain higher grade point averages also tend to own more books than their lower-achieving peers. It follows necessarily that owning a greater quantity of books directly produces superior academic outcomes.,false causality,0.8517,"[[""false causality"", 0.8517], [""faulty generalization"", 0.0403], [""fallacy of logic"", 0.0366]]",True
fc_04,false causality,informal,"Studies show that students with better grades have more books at home. Pretty obvious conclusion, right? If you want better grades, just buy more books. The data doesn't lie.",ad populum,0.6541,"[[""ad populum"", 0.6541], [""faulty generalization"", 0.1929], [""fallacy of credibility"", 0.0398]]",False
fc_04,false causality,nonnative,"Research show that student with high grade have many book at home. Student with low grade have few book. So having many book cause student to get high grade. If you want good grade, you must buy more book.",faulty generalization,0.9247,"[[""faulty generalization"", 0.9247], [""fallacy of logic"", 0.0264], [""false causality"", 0.0201]]",False
fc_05,false causality,formal,Epidemiological data demonstrate a statistically significant correlation between nations with higher rates of shoe ownership and greater average life expectancy. This correlation logically implies that distributing footwear to lower-ownership populations would directly extend their lifespans.,false causality,0.4114,"[[""false causality"", 0.4114], [""no_fallacy"", 0.332], [""faulty generalization"", 0.1101]]",True
fc_05,false causality,informal,"Countries where people own more shoes have longer lifespans—the stats prove it. So if we want people in poorer countries to live longer, we just need to give them more shoes. It's that simple.",faulty generalization,0.4981,"[[""faulty generalization"", 0.4981], [""fallacy of logic"", 0.1531], [""ad populum"", 0.0965]]",False
fc_05,false causality,nonnative,"Country where people have many shoe also have people who live long life. This is shown in statistic data. So having shoe is reason for long life. If we give shoe to poor country people, they will live more long.",faulty generalization,0.8144,"[[""faulty generalization"", 0.8144], [""false causality"", 0.1055], [""fallacy of logic"", 0.0348]]",False
fc_06,false causality,formal,"Longitudinal data indicate that during the decade in which social media usage expanded most dramatically, rates of adolescent anxiety and depression also increased substantially. These concurrent trends constitute unambiguous evidence that social media is the direct causal agent of the adolescent mental health crisis.",false causality,0.9303,"[[""false causality"", 0.9303], [""no_fallacy"", 0.0319], [""faulty generalization"", 0.009]]",True
fc_06,false causality,informal,Social media blew up in the 2010s and teens got way more depressed and anxious at exactly the same time. Obviously social media caused the whole mental health crisis. The timing makes it undeniable.,false causality,0.9632,"[[""false causality"", 0.9632], [""no_fallacy"", 0.0109], [""fallacy of logic"", 0.005]]",True
fc_06,false causality,nonnative,Social media become popular and at same time teenager have more anxiety and depression problem. This happen at same period of time. So social media is direct cause of mental health problem in young people. This is clear from data.,false causality,0.5293,"[[""false causality"", 0.5293], [""faulty generalization"", 0.3771], [""fallacy of logic"", 0.031]]",True
